Rank,Formula,Avg Voltage (V),Capacity (mAh/g),Energy Density (Wh/L),Cost per kWh ($/kWh),Thermal Safety Score,Estimated Cycles,Application Score
1,Li0-5Mn3Cu(PO4)4,3.524,208.43,2429.71,8.0,0.85,1109,0.7283772489139791
2,Li0-2MnCu(PO4)2,3.865,166.31,2281.58,8.0,0.8,1195,0.7252596279803986
3,Li1-5Mn2(PO4)3,3.862,249.61,2813.78,8.0,0.85,1156,0.7098489823457009
4,Li0-1MnPO4,3.798,170.87,2155.27,8.0,0.8,1293,0.7039655126422302
5,Li0-2MnP2O7,3.966,220.8,2440.96,8.0,0.8,1206,0.7035070995852206
