Rank,Formula,Avg Voltage (V),Capacity (mAh/g),Energy Density (Wh/L),Cost per kWh ($/kWh),Thermal Safety Score,Estimated Cycles,Application Score
1,Li0-1CuO2,3.941,261.51,4891.08,12.0,0.75,320,0.8089275290047075
2,Li0-2CuPO4,3.894,310.92,4008.82,12.0,0.9,484,0.7735772936533097
3,Li0-1MnO2,3.665,285.49,4206.91,8.0,0.65,633,0.7725125676090931
4,Li0-5Mn2(PO4)3,4.018,312.01,3481.3,8.0,0.85,943,0.7645848286656112
5,Li0-5Mn3Cu(PO4)4,3.524,208.43,2429.71,8.0,0.85,1109,0.7620236754160062
